Compound,Negative,Neutral,Positive,Tweets Ago,Username
0.7227,0.0,0.79,0.21,1,@BBC
-0.1027,0.202,0.649,0.149,2,@BBC
0.4404,0.129,0.612,0.259,3,@BBC
0.0,0.0,1.0,0.0,4,@BBC
0.4939,0.0,0.819,0.181,5,@BBC
-0.5574,0.265,0.735,0.0,6,@BBC
0.0,0.0,1.0,0.0,7,@BBC
-0.4189,0.2,0.709,0.091,8,@BBC
0.0,0.0,1.0,0.0,9,@BBC
-0.4939,0.211,0.789,0.0,10,@BBC
-0.4588,0.231,0.769,0.0,11,@BBC
0.5095,0.098,0.679,0.222,12,@BBC
-0.128,0.154,0.711,0.134,13,@BBC
-0.4767,0.205,0.795,0.0,14,@BBC
0.7506,0.0,0.748,0.252,15,@BBC
0.2732,0.066,0.823,0.111,16,@BBC
0.7003,0.0,0.655,0.345,17,@BBC
-0.8074,0.356,0.644,0.0,18,@BBC
0.0,0.0,1.0,0.0,19,@BBC
0.0,0.0,1.0,0.0,20,@BBC
0.4404,0.084,0.749,0.167,21,@BBC
0.3612,0.0,0.902,0.098,22,@BBC
0.8625,0.065,0.578,0.357,23,@BBC
0.6124,0.0,0.828,0.172,24,@BBC
0.0,0.0,1.0,0.0,25,@BBC
-0.1027,0.072,0.928,0.0,26,@BBC
0.1779,0.126,0.673,0.202,27,@BBC
-0.2732,0.116,0.884,0.0,28,@BBC
0.8555,0.0,0.669,0.331,29,@BBC
0.743,0.0,0.674,0.326,30,@BBC
0.3818,0.22,0.478,0.303,31,@BBC
0.7414,0.0,0.77,0.23,32,@BBC
-0.6705,0.2,0.8,0.0,33,@BBC
0.5994,0.0,0.804,0.196,34,@BBC
0.5719,0.0,0.773,0.227,35,@BBC
0.0,0.0,1.0,0.0,36,@BBC
0.0,0.0,1.0,0.0,37,@BBC
-0.5209,0.218,0.684,0.097,38,@BBC
0.0,0.0,1.0,0.0,39,@BBC
-0.6124,0.25,0.654,0.096,40,@BBC
0.4215,0.0,0.714,0.286,41,@BBC
-0.4588,0.242,0.67,0.088,42,@BBC
0.0,0.0,1.0,0.0,43,@BBC
0.1531,0.0,0.89,0.11,44,@BBC
-0.25,0.357,0.429,0.214,45,@BBC
0.4404,0.0,0.813,0.187,46,@BBC
0.0,0.0,1.0,0.0,47,@BBC
0.1759,0.206,0.546,0.248,48,@BBC
0.0,0.0,1.0,0.0,49,@BBC
0.4939,0.0,0.789,0.211,50,@BBC
-0.2263,0.172,0.651,0.177,51,@BBC
-0.5994,0.231,0.769,0.0,52,@BBC
0.4939,0.0,0.819,0.181,53,@BBC
0.0,0.0,1.0,0.0,54,@BBC
0.5411,0.0,0.851,0.149,55,@BBC
0.4404,0.0,0.868,0.132,56,@BBC
0.0,0.0,1.0,0.0,57,@BBC
0.0,0.0,1.0,0.0,58,@BBC
0.7299,0.0,0.695,0.305,59,@BBC
0.2732,0.0,0.89,0.11,60,@BBC
-0.5574,0.247,0.753,0.0,61,@BBC
0.0,0.0,1.0,0.0,62,@BBC
-0.6124,0.185,0.815,0.0,63,@BBC
0.0,0.0,1.0,0.0,64,@BBC
0.0,0.0,1.0,0.0,65,@BBC
-0.802,0.427,0.573,0.0,66,@BBC
0.4019,0.0,0.847,0.153,67,@BBC
0.7096,0.0,0.766,0.234,68,@BBC
-0.2732,0.242,0.554,0.204,69,@BBC
0.5994,0.0,0.795,0.205,70,@BBC
0.0,0.0,1.0,0.0,71,@BBC
0.5719,0.0,0.829,0.171,72,@BBC
0.0,0.0,1.0,0.0,73,@BBC
0.6696,0.0,0.728,0.272,74,@BBC
-0.6705,0.231,0.769,0.0,75,@BBC
0.0,0.0,1.0,0.0,76,@BBC
-0.7964,0.321,0.679,0.0,77,@BBC
0.0,0.0,1.0,0.0,78,@BBC
-0.6486,0.202,0.798,0.0,79,@BBC
-0.128,0.081,0.919,0.0,80,@BBC
0.0,0.0,1.0,0.0,81,@BBC
0.7506,0.0,0.748,0.252,82,@BBC
0.0,0.0,1.0,0.0,83,@BBC
0.0,0.0,1.0,0.0,84,@BBC
0.0,0.0,1.0,0.0,85,@BBC
0.0,0.0,1.0,0.0,86,@BBC
0.7456,0.0,0.689,0.311,87,@BBC
0.128,0.137,0.705,0.159,88,@BBC
-0.5574,0.167,0.833,0.0,89,@BBC
0.7003,0.0,0.655,0.345,90,@BBC
0.3818,0.134,0.591,0.274,91,@BBC
-0.7351,0.237,0.763,0.0,92,@BBC
0.0,0.0,1.0,0.0,93,@BBC
0.7845,0.0,0.734,0.266,94,@BBC
-0.875,0.5,0.5,0.0,95,@BBC
-0.872,0.398,0.602,0.0,96,@BBC
0.4753,0.0,0.843,0.157,97,@BBC
0.6239,0.0,0.687,0.313,98,@BBC
0.0,0.0,1.0,0.0,99,@BBC
0.0,0.0,1.0,0.0,100,@BBC
0.0772,0.0,0.936,0.064,1,@CBS
0.5423,0.0,0.8,0.2,2,@CBS
-0.3612,0.179,0.821,0.0,3,@CBS
0.0,0.0,1.0,0.0,4,@CBS
-0.6808,0.189,0.811,0.0,5,@CBS
0.5023,0.0,0.787,0.213,6,@CBS
-0.3724,0.242,0.758,0.0,7,@CBS
0.3612,0.0,0.8,0.2,8,@CBS
0.6124,0.0,0.667,0.333,9,@CBS
0.7003,0.0,0.58,0.42,10,@CBS
0.3612,0.0,0.737,0.263,11,@CBS
0.4199,0.0,0.715,0.285,12,@CBS
0.0,0.0,1.0,0.0,13,@CBS
-0.3875,0.226,0.774,0.0,14,@CBS
0.0,0.0,1.0,0.0,15,@CBS
0.7906,0.0,0.682,0.318,16,@CBS
0.4939,0.0,0.849,0.151,17,@CBS
0.6956,0.0,0.69,0.31,18,@CBS
0.8858,0.0,0.646,0.354,19,@CBS
0.0,0.0,1.0,0.0,20,@CBS
0.1622,0.133,0.746,0.121,21,@CBS
0.0,0.0,1.0,0.0,22,@CBS
0.3182,0.0,0.881,0.119,23,@CBS
0.765,0.0,0.708,0.292,24,@CBS
0.0,0.0,1.0,0.0,25,@CBS
0.0,0.0,1.0,0.0,26,@CBS
0.296,0.0,0.864,0.136,27,@CBS
-0.2263,0.091,0.909,0.0,28,@CBS
0.6124,0.0,0.81,0.19,29,@CBS
0.0,0.0,1.0,0.0,30,@CBS
0.0,0.0,1.0,0.0,31,@CBS
0.0,0.0,1.0,0.0,32,@CBS
0.0,0.0,1.0,0.0,33,@CBS
0.0,0.0,1.0,0.0,34,@CBS
0.0,0.0,1.0,0.0,35,@CBS
0.0,0.0,1.0,0.0,36,@CBS
0.0,0.0,1.0,0.0,37,@CBS
-0.34,0.25,0.581,0.169,38,@CBS
0.0,0.0,1.0,0.0,39,@CBS
0.0,0.0,1.0,0.0,40,@CBS
0.1139,0.0,0.929,0.071,41,@CBS
0.6249,0.0,0.779,0.221,42,@CBS
0.0,0.0,1.0,0.0,43,@CBS
-0.2714,0.138,0.764,0.098,44,@CBS
-0.2263,0.091,0.909,0.0,45,@CBS
0.0,0.0,1.0,0.0,46,@CBS
0.7901,0.0,0.709,0.291,47,@CBS
0.0,0.0,1.0,0.0,48,@CBS
0.0,0.0,1.0,0.0,49,@CBS
0.0,0.0,1.0,0.0,50,@CBS
-0.2263,0.087,0.913,0.0,51,@CBS
0.0,0.0,1.0,0.0,52,@CBS
0.296,0.098,0.758,0.144,53,@CBS
-0.1531,0.162,0.714,0.123,54,@CBS
0.296,0.0,0.891,0.109,55,@CBS
0.7896,0.0,0.788,0.212,56,@CBS
0.0,0.0,1.0,0.0,57,@CBS
-0.0531,0.236,0.588,0.176,58,@CBS
0.6486,0.0,0.791,0.209,59,@CBS
0.9642,0.0,0.473,0.527,60,@CBS
0.0,0.0,1.0,0.0,61,@CBS
0.3612,0.0,0.737,0.263,62,@CBS
-0.2263,0.091,0.909,0.0,63,@CBS
0.0,0.0,1.0,0.0,64,@CBS
-0.4322,0.159,0.771,0.07,65,@CBS
-0.2481,0.233,0.598,0.17,66,@CBS
0.0,0.0,1.0,0.0,67,@CBS
0.0,0.0,1.0,0.0,68,@CBS
0.4753,0.083,0.699,0.218,69,@CBS
0.0,0.0,1.0,0.0,70,@CBS
-0.2263,0.083,0.917,0.0,71,@CBS
0.6705,0.0,0.744,0.256,72,@CBS
0.4215,0.0,0.851,0.149,73,@CBS
0.0,0.0,1.0,0.0,74,@CBS
-0.5411,0.196,0.712,0.092,75,@CBS
0.0,0.0,1.0,0.0,76,@CBS
-0.296,0.121,0.879,0.0,77,@CBS
0.4753,0.0,0.808,0.192,78,@CBS
0.0,0.0,1.0,0.0,79,@CBS
0.3612,0.0,0.889,0.111,80,@CBS
0.6908,0.0,0.467,0.533,81,@CBS
0.4215,0.0,0.865,0.135,82,@CBS
0.6514,0.0,0.829,0.171,83,@CBS
0.0,0.0,1.0,0.0,84,@CBS
0.0,0.0,1.0,0.0,85,@CBS
-0.6908,0.239,0.761,0.0,86,@CBS
0.6239,0.0,0.83,0.17,87,@CBS
0.0,0.0,1.0,0.0,88,@CBS
-0.4389,0.112,0.888,0.0,89,@CBS
0.0,0.0,1.0,0.0,90,@CBS
0.0,0.0,1.0,0.0,91,@CBS
0.5423,0.0,0.829,0.171,92,@CBS
0.3182,0.0,0.887,0.113,93,@CBS
0.0,0.0,1.0,0.0,94,@CBS
-0.5267,0.188,0.72,0.092,95,@CBS
0.0,0.0,1.0,0.0,96,@CBS
0.4389,0.0,0.874,0.126,97,@CBS
-0.3182,0.103,0.897,0.0,98,@CBS
0.4926,0.0,0.856,0.144,99,@CBS
0.8957,0.0,0.581,0.419,100,@CBS
0.0,0.0,1.0,0.0,1,@CNN
0.0,0.0,1.0,0.0,2,@CNN
0.25,0.0,0.905,0.095,3,@CNN
-0.6369,0.234,0.766,0.0,4,@CNN
0.0,0.0,1.0,0.0,5,@CNN
0.296,0.194,0.522,0.284,6,@CNN
0.0,0.0,1.0,0.0,7,@CNN
0.8442,0.0,0.606,0.394,8,@CNN
0.0,0.0,1.0,0.0,9,@CNN
-0.4019,0.162,0.838,0.0,10,@CNN
-0.0258,0.084,0.916,0.0,11,@CNN
0.0772,0.0,0.925,0.075,12,@CNN
0.0,0.0,1.0,0.0,13,@CNN
0.6369,0.135,0.529,0.337,14,@CNN
0.7906,0.0,0.611,0.389,15,@CNN
0.0,0.0,1.0,0.0,16,@CNN
0.0,0.0,1.0,0.0,17,@CNN
0.4019,0.0,0.787,0.213,18,@CNN
0.8439,0.0,0.712,0.288,19,@CNN
0.5574,0.0,0.783,0.217,20,@CNN
-0.1027,0.076,0.924,0.0,21,@CNN
0.4019,0.078,0.776,0.147,22,@CNN
0.0,0.0,1.0,0.0,23,@CNN
0.7269,0.0,0.697,0.303,24,@CNN
0.0,0.0,1.0,0.0,25,@CNN
0.5719,0.0,0.824,0.176,26,@CNN
0.0,0.0,1.0,0.0,27,@CNN
0.296,0.194,0.522,0.284,28,@CNN
0.5574,0.0,0.841,0.159,29,@CNN
0.5574,0.0,0.783,0.217,30,@CNN
0.0,0.0,1.0,0.0,31,@CNN
-0.2144,0.111,0.816,0.073,32,@CNN
0.0,0.0,1.0,0.0,33,@CNN
0.6249,0.0,0.814,0.186,34,@CNN
0.0,0.0,1.0,0.0,35,@CNN
0.5574,0.0,0.816,0.184,36,@CNN
0.0,0.0,1.0,0.0,37,@CNN
-0.3384,0.112,0.888,0.0,38,@CNN
0.0772,0.0,0.925,0.075,39,@CNN
0.4019,0.081,0.766,0.153,40,@CNN
-0.2263,0.147,0.853,0.0,41,@CNN
-0.2263,0.091,0.909,0.0,42,@CNN
-0.0274,0.111,0.737,0.152,43,@CNN
0.0,0.0,1.0,0.0,44,@CNN
0.8555,0.0,0.539,0.461,45,@CNN
0.0,0.0,1.0,0.0,46,@CNN
0.0,0.0,1.0,0.0,47,@CNN
0.0,0.0,1.0,0.0,48,@CNN
0.0,0.0,1.0,0.0,49,@CNN
-0.4019,0.247,0.57,0.183,50,@CNN
0.0,0.0,1.0,0.0,51,@CNN
0.5574,0.0,0.854,0.146,52,@CNN
-0.3384,0.112,0.888,0.0,53,@CNN
-0.0258,0.209,0.642,0.15,54,@CNN
0.5719,0.0,0.837,0.163,55,@CNN
0.0,0.0,1.0,0.0,56,@CNN
0.4927,0.0,0.856,0.144,57,@CNN
0.4588,0.0,0.85,0.15,58,@CNN
0.4404,0.0,0.868,0.132,59,@CNN
-0.2023,0.114,0.886,0.0,60,@CNN
0.0,0.0,1.0,0.0,61,@CNN
0.2732,0.0,0.909,0.091,62,@CNN
0.0,0.0,1.0,0.0,63,@CNN
-0.4019,0.247,0.57,0.183,64,@CNN
0.0,0.0,1.0,0.0,65,@CNN
0.6705,0.148,0.542,0.31,66,@CNN
0.0,0.0,1.0,0.0,67,@CNN
0.0,0.0,1.0,0.0,68,@CNN
-0.128,0.073,0.927,0.0,69,@CNN
0.0,0.0,1.0,0.0,70,@CNN
-0.2263,0.147,0.853,0.0,71,@CNN
0.0,0.0,1.0,0.0,72,@CNN
0.4404,0.0,0.873,0.127,73,@CNN
0.0,0.0,1.0,0.0,74,@CNN
0.4215,0.0,0.865,0.135,75,@CNN
0.5994,0.0,0.804,0.196,76,@CNN
-0.0258,0.209,0.642,0.15,77,@CNN
0.25,0.0,0.905,0.095,78,@CNN
-0.0274,0.111,0.737,0.152,79,@CNN
0.0,0.0,1.0,0.0,80,@CNN
0.8591,0.0,0.689,0.311,81,@CNN
0.0,0.0,1.0,0.0,82,@CNN
0.296,0.223,0.522,0.255,83,@CNN
0.5719,0.0,0.829,0.171,84,@CNN
-0.34,0.13,0.87,0.0,85,@CNN
-0.6418,0.258,0.624,0.118,86,@CNN
0.6486,0.0,0.73,0.27,87,@CNN
0.0,0.0,1.0,0.0,88,@CNN
0.8442,0.083,0.542,0.375,89,@CNN
-0.1406,0.084,0.916,0.0,90,@CNN
0.7906,0.0,0.708,0.292,91,@CNN
0.6705,0.148,0.542,0.31,92,@CNN
0.0,0.0,1.0,0.0,93,@CNN
0.1027,0.098,0.787,0.114,94,@CNN
0.4215,0.0,0.872,0.128,95,@CNN
0.0772,0.0,0.929,0.071,96,@CNN
0.3182,0.0,0.892,0.108,97,@CNN
-0.3412,0.103,0.897,0.0,98,@CNN
0.0,0.0,1.0,0.0,99,@CNN
-0.25,0.091,0.909,0.0,100,@CNN
0.7841,0.0,0.699,0.301,1,@FoxNews
-0.6486,0.227,0.773,0.0,2,@FoxNews
-0.6486,0.35,0.65,0.0,3,@FoxNews
0.3182,0.0,0.892,0.108,4,@FoxNews
-0.6378,0.319,0.681,0.0,5,@FoxNews
0.2732,0.0,0.9,0.1,6,@FoxNews
0.0,0.0,1.0,0.0,7,@FoxNews
0.4215,0.0,0.811,0.189,8,@FoxNews
0.1027,0.0,0.909,0.091,9,@FoxNews
0.5106,0.0,0.732,0.268,10,@FoxNews
-0.25,0.286,0.714,0.0,11,@FoxNews
0.0,0.0,1.0,0.0,12,@FoxNews
0.0,0.0,1.0,0.0,13,@FoxNews
0.6124,0.0,0.762,0.238,14,@FoxNews
-0.5423,0.241,0.759,0.0,15,@FoxNews
0.7906,0.0,0.667,0.333,16,@FoxNews
0.0,0.0,1.0,0.0,17,@FoxNews
-0.296,0.141,0.773,0.086,18,@FoxNews
-0.4767,0.256,0.744,0.0,19,@FoxNews
0.1027,0.101,0.78,0.119,20,@FoxNews
0.128,0.094,0.788,0.118,21,@FoxNews
0.3182,0.0,0.892,0.108,22,@FoxNews
-0.6705,0.273,0.727,0.0,23,@FoxNews
0.0,0.0,1.0,0.0,24,@FoxNews
0.0,0.0,1.0,0.0,25,@FoxNews
0.3612,0.0,0.839,0.161,26,@FoxNews
0.0,0.0,1.0,0.0,27,@FoxNews
-0.2263,0.119,0.881,0.0,28,@FoxNews
0.0,0.0,1.0,0.0,29,@FoxNews
-0.6808,0.359,0.641,0.0,30,@FoxNews
0.0,0.0,1.0,0.0,31,@FoxNews
0.8074,0.0,0.7,0.3,32,@FoxNews
0.3306,0.0,0.884,0.116,33,@FoxNews
0.0,0.0,1.0,0.0,34,@FoxNews
-0.6486,0.227,0.773,0.0,35,@FoxNews
0.8126,0.0,0.598,0.402,36,@FoxNews
0.0186,0.136,0.724,0.14,37,@FoxNews
0.5267,0.0,0.702,0.298,38,@FoxNews
0.3182,0.0,0.892,0.108,39,@FoxNews
0.2732,0.0,0.905,0.095,40,@FoxNews
0.0,0.0,1.0,0.0,41,@FoxNews
0.4215,0.0,0.797,0.203,42,@FoxNews
0.5574,0.0,0.833,0.167,43,@FoxNews
-0.6705,0.303,0.562,0.135,44,@FoxNews
0.5106,0.0,0.708,0.292,45,@FoxNews
0.7906,0.0,0.682,0.318,46,@FoxNews
0.0,0.0,1.0,0.0,47,@FoxNews
0.0,0.0,1.0,0.0,48,@FoxNews
-0.0772,0.195,0.629,0.176,49,@FoxNews
0.0,0.0,1.0,0.0,50,@FoxNews
0.8658,0.072,0.528,0.4,51,@FoxNews
0.0,0.0,1.0,0.0,52,@FoxNews
0.7906,0.0,0.708,0.292,53,@FoxNews
0.5574,0.0,0.825,0.175,54,@FoxNews
0.128,0.098,0.777,0.124,55,@FoxNews
0.7506,0.0,0.701,0.299,56,@FoxNews
0.7906,0.0,0.667,0.333,57,@FoxNews
0.7906,0.0,0.5,0.5,58,@FoxNews
0.5574,0.0,0.841,0.159,59,@FoxNews
0.4902,0.0,0.803,0.197,60,@FoxNews
-0.3818,0.14,0.86,0.0,61,@FoxNews
0.4215,0.0,0.808,0.192,62,@FoxNews
0.4404,0.0,0.861,0.139,63,@FoxNews
0.0,0.0,1.0,0.0,64,@FoxNews
0.4019,0.097,0.718,0.185,65,@FoxNews
-0.4549,0.142,0.858,0.0,66,@FoxNews
0.0,0.0,1.0,0.0,67,@FoxNews
0.5574,0.0,0.783,0.217,68,@FoxNews
0.0,0.0,1.0,0.0,69,@FoxNews
0.3612,0.0,0.865,0.135,70,@FoxNews
0.5994,0.0,0.794,0.206,71,@FoxNews
0.0,0.0,1.0,0.0,72,@FoxNews
0.8689,0.0,0.62,0.38,73,@FoxNews
0.5994,0.0,0.776,0.224,74,@FoxNews
0.0,0.0,1.0,0.0,75,@FoxNews
0.5574,0.0,0.66,0.34,76,@FoxNews
0.7783,0.0,0.736,0.264,77,@FoxNews
0.0,0.0,1.0,0.0,78,@FoxNews
0.802,0.0,0.625,0.375,79,@FoxNews
0.1027,0.101,0.78,0.119,80,@FoxNews
0.6124,0.0,0.667,0.333,81,@FoxNews
0.7506,0.0,0.67,0.33,82,@FoxNews
-0.3875,0.158,0.842,0.0,83,@FoxNews
0.7783,0.0,0.673,0.327,84,@FoxNews
0.4019,0.081,0.766,0.153,85,@FoxNews
0.5574,0.0,0.841,0.159,86,@FoxNews
0.0,0.0,1.0,0.0,87,@FoxNews
0.8271,0.0,0.588,0.412,88,@FoxNews
0.4019,0.093,0.732,0.176,89,@FoxNews
0.0,0.0,1.0,0.0,90,@FoxNews
0.5574,0.0,0.769,0.231,91,@FoxNews
0.5574,0.0,0.735,0.265,92,@FoxNews
0.5574,0.0,0.816,0.184,93,@FoxNews
-0.3818,0.192,0.726,0.081,94,@FoxNews
0.5574,0.0,0.841,0.159,95,@FoxNews
0.0,0.0,1.0,0.0,96,@FoxNews
0.0,0.0,1.0,0.0,97,@FoxNews
0.9022,0.0,0.498,0.502,98,@FoxNews
-0.5106,0.292,0.708,0.0,99,@FoxNews
0.5106,0.0,0.798,0.202,100,@FoxNews
0.765,0.0,0.708,0.292,1,@NYTimes
0.8603,0.1,0.41,0.489,2,@NYTimes
-0.6597,0.167,0.833,0.0,3,@NYTimes
0.0,0.0,1.0,0.0,4,@NYTimes
0.0,0.0,1.0,0.0,5,@NYTimes
0.3919,0.0,0.888,0.112,6,@NYTimes
0.0,0.0,1.0,0.0,7,@NYTimes
0.5574,0.0,0.763,0.237,8,@NYTimes
0.5106,0.0,0.864,0.136,9,@NYTimes
-0.7579,0.294,0.706,0.0,10,@NYTimes
-0.6705,0.243,0.757,0.0,11,@NYTimes
0.4767,0.0,0.744,0.256,12,@NYTimes
0.0,0.0,1.0,0.0,13,@NYTimes
0.0,0.0,1.0,0.0,14,@NYTimes
0.0,0.0,1.0,0.0,15,@NYTimes
-0.296,0.115,0.885,0.0,16,@NYTimes
0.7096,0.0,0.688,0.312,17,@NYTimes
0.0,0.0,1.0,0.0,18,@NYTimes
-0.6369,0.189,0.811,0.0,19,@NYTimes
0.0,0.0,1.0,0.0,20,@NYTimes
-0.7506,0.252,0.748,0.0,21,@NYTimes
-0.3818,0.217,0.663,0.12,22,@NYTimes
0.0,0.0,1.0,0.0,23,@NYTimes
0.0,0.0,1.0,0.0,24,@NYTimes
-0.5994,0.178,0.822,0.0,25,@NYTimes
-0.6249,0.338,0.662,0.0,26,@NYTimes
0.0,0.0,1.0,0.0,27,@NYTimes
0.0,0.0,1.0,0.0,28,@NYTimes
0.0,0.0,1.0,0.0,29,@NYTimes
0.0,0.0,1.0,0.0,30,@NYTimes
0.0,0.0,1.0,0.0,31,@NYTimes
0.4019,0.0,0.876,0.124,32,@NYTimes
-0.2755,0.088,0.912,0.0,33,@NYTimes
0.2023,0.0,0.917,0.083,34,@NYTimes
0.0,0.0,1.0,0.0,35,@NYTimes
0.3612,0.0,0.865,0.135,36,@NYTimes
-0.6597,0.196,0.804,0.0,37,@NYTimes
0.6597,0.0,0.795,0.205,38,@NYTimes
-0.8271,0.367,0.633,0.0,39,@NYTimes
0.836,0.066,0.592,0.341,40,@NYTimes
-0.2023,0.225,0.625,0.15,41,@NYTimes
-0.5848,0.22,0.78,0.0,42,@NYTimes
0.25,0.131,0.656,0.213,43,@NYTimes
0.34,0.0,0.876,0.124,44,@NYTimes
0.5106,0.0,0.807,0.193,45,@NYTimes
0.0,0.0,1.0,0.0,46,@NYTimes
-0.4445,0.207,0.793,0.0,47,@NYTimes
0.0,0.0,1.0,0.0,48,@NYTimes
0.1779,0.131,0.657,0.211,49,@NYTimes
0.0,0.0,1.0,0.0,50,@NYTimes
0.0,0.0,1.0,0.0,51,@NYTimes
0.6222,0.0,0.815,0.185,52,@NYTimes
-0.2263,0.106,0.894,0.0,53,@NYTimes
0.0,0.0,1.0,0.0,54,@NYTimes
-0.296,0.099,0.901,0.0,55,@NYTimes
0.5574,0.0,0.854,0.146,56,@NYTimes
0.431,0.0,0.856,0.144,57,@NYTimes
0.1779,0.115,0.733,0.152,58,@NYTimes
0.34,0.0,0.876,0.124,59,@NYTimes
0.3612,0.0,0.865,0.135,60,@NYTimes
0.4588,0.0,0.88,0.12,61,@NYTimes
0.0,0.0,1.0,0.0,62,@NYTimes
-0.476,0.208,0.692,0.1,63,@NYTimes
0.0,0.0,1.0,0.0,64,@NYTimes
0.0,0.0,1.0,0.0,65,@NYTimes
0.0,0.0,1.0,0.0,66,@NYTimes
0.0258,0.098,0.8,0.102,67,@NYTimes
0.4019,0.0,0.876,0.124,68,@NYTimes
0.2023,0.158,0.644,0.198,69,@NYTimes
0.2023,0.0,0.909,0.091,70,@NYTimes
-0.34,0.103,0.897,0.0,71,@NYTimes
-0.6597,0.27,0.652,0.078,72,@NYTimes
-0.0762,0.064,0.936,0.0,73,@NYTimes
-0.3412,0.124,0.876,0.0,74,@NYTimes
-0.6486,0.193,0.807,0.0,75,@NYTimes
0.34,0.0,0.882,0.118,76,@NYTimes
0.8625,0.0,0.652,0.348,77,@NYTimes
0.0,0.0,1.0,0.0,78,@NYTimes
0.6597,0.0,0.787,0.213,79,@NYTimes
0.0,0.0,1.0,0.0,80,@NYTimes
0.0,0.0,1.0,0.0,81,@NYTimes
-0.2263,0.091,0.909,0.0,82,@NYTimes
0.6369,0.0,0.792,0.208,83,@NYTimes
0.0,0.0,1.0,0.0,84,@NYTimes
0.0,0.0,1.0,0.0,85,@NYTimes
0.4005,0.0,0.77,0.23,86,@NYTimes
0.0,0.0,1.0,0.0,87,@NYTimes
0.8126,0.088,0.5,0.412,88,@NYTimes
0.0,0.0,1.0,0.0,89,@NYTimes
-0.6249,0.291,0.709,0.0,90,@NYTimes
-0.8225,0.409,0.591,0.0,91,@NYTimes
-0.7906,0.333,0.667,0.0,92,@NYTimes
0.1779,0.0,0.898,0.102,93,@NYTimes
0.0,0.0,1.0,0.0,94,@NYTimes
0.0,0.0,1.0,0.0,95,@NYTimes
0.0,0.0,1.0,0.0,96,@NYTimes
0.0258,0.0,0.901,0.099,97,@NYTimes
0.2023,0.0,0.893,0.107,98,@NYTimes
0.34,0.0,0.806,0.194,99,@NYTimes
0.5106,0.0,0.732,0.268,100,@NYTimes
